,,,,,,Team Totals,,,,,,,,,,,,,,,,,,Team Shooting,,,,,
Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
2004-05,WAS,82,45,37,0.549,19780,2966,6794,2452,5296,514,1498,1795,2476,1133,2374,3507,1563,716,347,1172,1807,8241,0.437,0.463,0.343,0.725,0.523,0.474
2005-06,ATL,82,26,56,0.317,19880,2946,6496,2522,5342,424,1154,1656,2207,1069,2232,3301,1625,587,394,1284,2054,7972,0.454,0.472,0.367,0.75,0.534,0.486
2005-06,BOS,82,33,49,0.402,19880,2951,6322,2484,5032,467,1290,1664,2204,813,2432,3245,1716,578,422,1359,2033,8033,0.467,0.494,0.362,0.755,0.551,0.504
2005-06,CHA,82,26,56,0.317,19905,2961,6843,2533,5582,428,1261,1593,2186,990,2270,3260,1717,822,354,1167,1960,7943,0.433,0.454,0.339,0.729,0.509,0.464
2005-06,CHI,82,41,41,0.5,19905,3004,6737,2444,5260,560,1477,1452,1967,906,2602,3508,1804,508,345,1224,2038,8020,0.446,0.465,0.379,0.738,0.527,0.487
2005-06,CLE,82,50,32,0.61,19830,2908,6412,2411,4947,497,1465,1689,2318,959,2511,3470,1560,567,392,1137,1733,8002,0.454,0.487,0.339,0.729,0.538,0.492
2005-06,DAL,82,60,22,0.732,19880,2948,6375,2532,5262,416,1113,1818,2322,1030,2431,3461,1473,593,488,1112,1834,8130,0.462,0.481,0.374,0.783,0.55,0.495
2005-06,DEN,82,44,38,0.537,19930,3078,6672,2728,5596,350,1076,1721,2312,903,2486,3389,1921,698,463,1216,1863,8227,0.461,0.487,0.325,0.744,0.535,0.488
2005-06,DET,82,64,18,0.78,19830,2983,6558,2426,5107,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,7941,0.455,0.475,0.384,0.727,0.535,0.497
2005-06,GSW,82,34,48,0.415,19830,2939,6785,2314,4953,625,1832,1573,2190,980,2485,3465,1694,604,357,1156,1941,8076,0.433,0.467,0.341,0.718,0.521,0.479
2005-06,HOU,82,34,48,0.415,19830,2708,6252,2239,4838,469,1414,1502,1980,849,2565,3414,1580,588,320,1193,1863,7387,0.433,0.463,0.332,0.759,0.519,0.471
2005-06,IND,82,41,41,0.5,19730,2786,6274,2250,4738,536,1536,1591,2158,898,2559,3457,1631,598,409,1254,1821,7699,0.444,0.475,0.349,0.737,0.533,0.487
2005-06,LAC,82,47,35,0.573,19805,2993,6443,2703,5600,290,843,1694,2142,828,2704,3532,1708,534,503,1185,1872,7970,0.465,0.483,0.344,0.791,0.54,0.487
2005-06,LAL,82,45,37,0.549,19855,2992,6607,2440,5024,552,1583,1618,2172,970,2488,3458,1734,628,350,1143,1894,8154,0.453,0.486,0.349,0.745,0.539,0.495
2005-06,MEM,82,49,33,0.598,19855,2746,6125,2156,4547,590,1578,1476,2077,834,2379,3213,1586,600,442,1134,1757,7558,0.448,0.474,0.374,0.711,0.537,0.496
2005-06,MIA,82,52,30,0.634,19755,3039,6355,2542,4914,497,1441,1616,2310,858,2675,3533,1692,522,442,1186,1871,8191,0.478,0.517,0.345,0.7,0.556,0.517
2005-06,MIL,82,40,42,0.488,19855,2976,6566,2469,5231,507,1335,1561,2115,929,2448,3377,1769,597,270,1197,1902,8020,0.453,0.472,0.38,0.738,0.535,0.492
2005-06,MIN,82,33,49,0.402,19855,2888,6340,2578,5398,310,942,1436,1895,811,2422,3233,1716,559,471,1189,1889,7522,0.456,0.478,0.329,0.758,0.524,0.48
2005-06,NJN,82,49,33,0.598,19780,2778,6317,2301,4870,477,1447,1658,2187,822,2539,3361,1884,558,278,1119,1903,7691,0.44,0.472,0.33,0.758,0.528,0.478
2005-06,NOK,82,38,44,0.463,19805,2831,6428,2531,5543,300,885,1649,2176,918,2379,3297,1519,611,311,1095,1786,7611,0.44,0.457,0.339,0.758,0.515,0.464
2005-06,NYK,82,23,59,0.28,19930,2822,6206,2502,5322,320,884,1878,2587,1034,2360,3394,1468,555,271,1449,2157,7842,0.455,0.47,0.362,0.726,0.534,0.481
2005-06,SEA,82,35,47,0.427,19830,3077,6711,2472,5080,605,1631,1652,2104,1013,2233,3246,1696,622,306,1208,1933,8411,0.459,0.487,0.371,0.785,0.551,0.504
2005-06,ORL,82,36,46,0.439,19905,2911,6167,2612,5371,299,796,1663,2277,892,2402,3294,1495,532,362,1240,1908,7784,0.472,0.486,0.376,0.73,0.543,0.496
